Land;Stadt;Jahr;Kategorie;Merkmal;Hektar;Einwohner insgesamt
de-sh;Kiel;1871;Bevölkerung;Einwohner und Fläche;1513;31764
de-sh;Kiel;1880;Bevölkerung;Einwohner und Fläche;1546;43594
de-sh;Kiel;1890;Bevölkerung;Einwohner und Fläche;1547;69172
de-sh;Kiel;1895;Bevölkerung;Einwohner und Fläche;1824;79827
de-sh;Kiel;1900;Bevölkerung;Einwohner und Fläche;2060;107977
de-sh;Kiel;1901;Bevölkerung;Einwohner und Fläche;2371;135368
de-sh;Kiel;1902;Bevölkerung;Einwohner und Fläche;2371;144459
de-sh;Kiel;1903;Bevölkerung;Einwohner und Fläche;2371;143637
de-sh;Kiel;1904;Bevölkerung;Einwohner und Fläche;2371;150897
de-sh;Kiel;1905;Bevölkerung;Einwohner und Fläche;2371;164563
de-sh;Kiel;1906;Bevölkerung;Einwohner und Fläche;2371;169705
de-sh;Kiel;1907;Bevölkerung;Einwohner und Fläche;2371;178463
de-sh;Kiel;1908;Bevölkerung;Einwohner und Fläche;2371;183758
de-sh;Kiel;1909;Bevölkerung;Einwohner und Fläche;2600;185868
de-sh;Kiel;1910;Bevölkerung;Einwohner und Fläche;4375;211627
de-sh;Kiel;1911;Bevölkerung;Einwohner und Fläche;4375;217126
de-sh;Kiel;1912;Bevölkerung;Einwohner und Fläche;4375;217928
de-sh;Kiel;1913;Bevölkerung;Einwohner und Fläche;4375;220439
de-sh;Kiel;1914;Bevölkerung;Einwohner und Fläche;4375;227883
de-sh;Kiel;1915;Bevölkerung;Einwohner und Fläche;4375;240031
de-sh;Kiel;1916;Bevölkerung;Einwohner und Fläche;4375;242583
de-sh;Kiel;1917;Bevölkerung;Einwohner und Fläche;4375;243139
de-sh;Kiel;1918;Bevölkerung;Einwohner und Fläche;4375;243356
de-sh;Kiel;1919;Bevölkerung;Einwohner und Fläche;4375;225137
de-sh;Kiel;1920;Bevölkerung;Einwohner und Fläche;4375;206692
de-sh;Kiel;1921;Bevölkerung;Einwohner und Fläche;4375;206231
de-sh;Kiel;1922;Bevölkerung;Einwohner und Fläche;4843;205675
de-sh;Kiel;1923;Bevölkerung;Einwohner und Fläche;4912;214739
de-sh;Kiel;1924;Bevölkerung;Einwohner und Fläche;5313;219216
de-sh;Kiel;1925;Bevölkerung;Einwohner und Fläche;5313;215822
de-sh;Kiel;1926;Bevölkerung;Einwohner und Fläche;5313;215751
de-sh;Kiel;1927;Bevölkerung;Einwohner und Fläche;5313;216001
de-sh;Kiel;1928;Bevölkerung;Einwohner und Fläche;5313;217848
de-sh;Kiel;1929;Bevölkerung;Einwohner und Fläche;5313;217385
de-sh;Kiel;1930;Bevölkerung;Einwohner und Fläche;5829;219204
de-sh;Kiel;1931;Bevölkerung;Einwohner und Fläche;5829;220256
de-sh;Kiel;1932;Bevölkerung;Einwohner und Fläche;5829;219892
de-sh;Kiel;1933;Bevölkerung;Einwohner und Fläche;5829;219460
de-sh;Kiel;1934;Bevölkerung;Einwohner und Fläche;5829;221953
de-sh;Kiel;1935;Bevölkerung;Einwohner und Fläche;5829;233497
de-sh;Kiel;1936;Bevölkerung;Einwohner und Fläche;5829;241261
de-sh;Kiel;1937;Bevölkerung;Einwohner und Fläche;5829;250033
de-sh;Kiel;1938;Bevölkerung;Einwohner und Fläche;5829;259950
de-sh;Kiel;1939;Bevölkerung;Einwohner und Fläche;6484;272198
de-sh;Kiel;1940;Bevölkerung;Einwohner und Fläche;6484;286836
de-sh;Kiel;1941;Bevölkerung;Einwohner und Fläche;6484;296438
de-sh;Kiel;1942;Bevölkerung;Einwohner und Fläche;6484;306452
de-sh;Kiel;1943;Bevölkerung;Einwohner und Fläche;6484;284741
de-sh;Kiel;1944;Bevölkerung;Einwohner und Fläche;6484;243229
de-sh;Kiel;1945;Bevölkerung;Einwohner und Fläche;6484;278239
de-sh;Kiel;1946;Bevölkerung;Einwohner und Fläche;6484;216407
de-sh;Kiel;1947;Bevölkerung;Einwohner und Fläche;6484;228334
de-sh;Kiel;1948;Bevölkerung;Einwohner und Fläche;6484;242863
de-sh;Kiel;1949;Bevölkerung;Einwohner und Fläche;6484;250517
de-sh;Kiel;1950;Bevölkerung;Einwohner und Fläche;6549;256112
de-sh;Kiel;1951;Bevölkerung;Einwohner und Fläche;6549;259629
de-sh;Kiel;1952;Bevölkerung;Einwohner und Fläche;6549;261294
de-sh;Kiel;1953;Bevölkerung;Einwohner und Fläche;6549;259920
de-sh;Kiel;1954;Bevölkerung;Einwohner und Fläche;6549;258642
