Land;Stadt;Kategorie;Merkmal;Jahr;PKW;LKW;Kr?er
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1960;17982;4037;4405
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1961;21570;4057;4352
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1962;25642;4404;4094
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1963;29990;4732;3753
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1964;34552;4953;3217
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1965;38751;5069;2612
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1966;43287;5202;2125
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1967;46861;5234;1487
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1968;48763;5205;1098
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1969;50741;5279;907
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1970;54347;5421;711
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1971;61394;5953;673
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1972;64803;6054;600
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1973;67261;6144;627
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1974;68046;6084;652
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1975;67532;5885;707
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1976;69776;5480;774
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1977;73169;5636;935
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1978;77022;5781;1037
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1979;80537;6058;1251
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1980;83606;6438;1574
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1981;84003;6651;1886
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1982;83828;6680;2226
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1983;84225;6588;2796
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1984;85131;6541;3009
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1985;85940;6520;3306
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1986;87574;6638;3377
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1987;89127;6579;3449
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1988;92974;6774;3645
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1989;95176;6896;3705
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1990;99194;7124;3917
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1991;100075;7465;4106
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1992;101065;7688;4358
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1993;103731;7970;4660
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1994;105335;8104;5140
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1995;105894;8257;5573
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1996;106254;8427;5995
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1997;106187;8604;6724
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1998;104839;9538;7217
de-sh;Kiel;transport_verkehr;zugelassene Kfz;1999;102856;9661;7443
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2000;100737;9676;7583
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2001;102988;10190;7863
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2002;104223;10216;7925
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2003;104350;10193;8061
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2004;104262;10258;8078
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2005;104418;10475;8068
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2006;106642;8720;8071
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2007;107472;8861;8110
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2008;94561;8452;7183
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2009;94713;8374;7324
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2010;96294;8492;7559
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2011;97966;8558;7650
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2012;99725;8672;7693
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2013;101101;8813;7806
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2014;102299;8826;7873
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2015;103889;8803;8026
de-sh;Kiel;transport_verkehr;zugelassene Kfz;2016;107982;9499;8179
