Land;Stadt;Kategorie;Merkmal;Jahr;Norwegen;Schweden;Daenemark;Baltikum
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;1996;549925;889402;392271;38202
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;1997;556398;907359;418995;26808
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;1998;561791;817358;424222;26041
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;1999;517355;532037;117124;21499
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2000;586610;395964;37603;26714
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2001;603225;415764;0;35988
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2002;579422;462044;0;35901
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2003;566622;467976;51453;37067
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2004;604211;451171;0;43760
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2005;849802;450450;0;44492
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2006;804627;468492;0;50188
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2007;851823;472225;0;56897
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2008;1039162;437307;0;60252
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2009;1021238;404239;0;65620
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2010;1072812;405314;0;73384
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2011;1091491;319263;0;86972
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2012;1116709;360793;0;91162
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2013;1096013;389896;0;90809
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2014;1160140;374212;0;89389
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2015;1094516;382412;0;80415
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2016;1115252;400332;0;83791
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2017;1097025;414635;0;91334
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2018;1097330;406801;0;102898
de-sh;Kiel;transport_verkehr;Passagiere nach Ziel und Herkunft;2019;1075047;406287;0;107133
